"R","G","B","Gray",,"Average",,,
128,95,97,109,,"R","G","B","Gray"
130,97,99,111,,"156,7004048583","106,5263157895","113,6882591093","125,5303643725"
131,97,100,112,,,,,
131,98,99,112,,,,,
128,94,96,109,,,,,
129,94,97,109,,,,,
130,96,99,111,,,,,
130,96,98,111,,,,,
128,95,97,109,,,,,
125,92,95,107,,,,,
130,96,97,110,,,,,
125,92,96,108,,,,,
130,97,99,111,,,,,
130,95,96,108,,,,,
128,93,96,108,,,,,
128,93,96,108,,,,,
133,100,102,115,,,,,
133,99,101,113,,,,,
138,102,105,118,,,,,
137,102,105,119,,,,,
137,101,106,118,,,,,
135,97,103,115,,,,,
134,95,102,113,,,,,
139,100,106,118,,,,,
141,101,109,121,,,,,
143,107,113,124,,,,,
146,108,115,125,,,,,
151,106,114,125,,,,,
143,99,107,118,,,,,
141,99,107,117,,,,,
140,95,104,114,,,,,
141,100,107,118,,,,,
140,98,105,116,,,,,
140,95,104,113,,,,,
137,94,101,110,,,,,
136,92,99,110,,,,,
132,90,97,107,,,,,
149,110,117,125,,,,,
156,121,126,138,,,,,
156,120,128,138,,,,,
170,131,138,152,,,,,
172,127,136,148,,,,,
161,128,136,149,,,,,
163,125,132,144,,,,,
160,123,130,143,,,,,
155,129,133,145,,,,,
141,144,149,165,,,,,
141,138,144,155,,,,,
145,132,132,148,,,,,
148,133,132,149,,,,,
145,122,125,138,,,,,
143,117,121,134,,,,,
145,120,123,136,,,,,
146,117,124,134,,,,,
150,120,125,139,,,,,
155,128,130,145,,,,,
160,122,129,143,,,,,
158,119,127,140,,,,,
154,113,121,132,,,,,
154,116,124,135,,,,,
153,113,122,133,,,,,
150,111,118,130,,,,,
140,102,109,119,,,,,
130,88,96,105,,,,,
130,85,92,101,,,,,
148,105,113,123,,,,,
150,103,110,121,,,,,
154,108,117,127,,,,,
159,115,122,133,,,,,
162,118,126,138,,,,,
162,115,125,135,,,,,
158,114,123,133,,,,,
162,116,124,135,,,,,
161,110,122,131,,,,,
162,111,122,131,,,,,
170,115,128,136,,,,,
164,107,116,126,,,,,
165,106,114,126,,,,,
168,110,118,131,,,,,
178,119,125,138,,,,,
173,116,122,135,,,,,
167,110,117,130,,,,,
168,110,116,131,,,,,
153,108,100,120,,,,,
142,96,90,110,,,,,
148,99,96,114,,,,,
151,101,101,117,,,,,
153,100,100,117,,,,,
146,89,93,108,,,,,
148,97,99,114,,,,,
139,85,88,102,,,,,
141,89,92,107,,,,,
147,86,100,108,,,,,
150,88,100,110,,,,,
145,82,94,104,,,,,
140,81,91,100,,,,,
143,86,96,106,,,,,
149,89,98,108,,,,,
148,89,97,109,,,,,
143,87,98,106,,,,,
145,90,100,109,,,,,
153,102,109,121,,,,,
158,105,111,124,,,,,
154,99,107,118,,,,,
157,107,115,125,,,,,
162,109,117,127,,,,,
163,106,115,125,,,,,
159,103,112,122,,,,,
160,104,113,123,,,,,
159,103,113,122,,,,,
164,108,118,128,,,,,
168,110,119,130,,,,,
164,107,116,127,,,,,
163,107,115,126,,,,,
167,109,119,130,,,,,
169,108,118,129,,,,,
171,114,123,134,,,,,
172,116,124,136,,,,,
172,114,124,135,,,,,
174,115,124,135,,,,,
170,112,119,131,,,,,
174,118,126,138,,,,,
174,116,123,135,,,,,
173,118,127,138,,,,,
177,119,128,139,,,,,
180,120,129,140,,,,,
182,125,136,145,,,,,
177,118,128,138,,,,,
183,123,134,143,,,,,
182,125,134,145,,,,,
179,122,131,142,,,,,
182,125,135,146,,,,,
181,121,131,142,,,,,
182,123,133,144,,,,,
181,121,129,141,,,,,
182,122,133,145,,,,,
182,125,134,145,,,,,
189,127,136,149,,,,,
189,125,134,146,,,,,
184,120,129,141,,,,,
182,129,145,154,,,,,
183,129,144,154,,,,,
177,126,141,151,,,,,
185,130,145,154,,,,,
186,130,144,153,,,,,
190,127,141,152,,,,,
181,123,140,148,,,,,
174,114,129,137,,,,,
177,120,134,143,,,,,
177,117,132,139,,,,,
173,113,127,135,,,,,
171,109,123,132,,,,,
168,107,120,129,,,,,
173,114,126,135,,,,,
167,106,117,128,,,,,
169,107,118,129,,,,,
167,107,117,128,,,,,
168,107,118,128,,,,,
167,107,118,128,,,,,
177,116,126,138,,,,,
178,115,126,137,,,,,
178,115,126,137,,,,,
175,114,124,135,,,,,
178,114,124,136,,,,,
176,114,125,136,,,,,
174,113,122,134,,,,,
169,111,120,131,,,,,
168,109,118,130,,,,,
171,111,121,132,,,,,
169,111,120,132,,,,,
147,94,93,111,,,,,
154,104,104,121,,,,,
147,96,94,112,,,,,
154,102,102,119,,,,,
157,106,107,124,,,,,
155,102,103,120,,,,,
157,95,107,118,,,,,
166,104,117,126,,,,,
172,110,124,134,,,,,
171,111,124,134,,,,,
160,99,111,121,,,,,
161,111,113,128,,,,,
157,104,109,123,,,,,
154,96,102,117,,,,,
145,93,95,111,,,,,
156,99,103,117,,,,,
155,97,102,116,,,,,
152,98,101,116,,,,,
153,99,103,118,,,,,
154,97,103,115,,,,,
152,96,102,115,,,,,
151,100,104,117,,,,,
137,81,83,99,,,,,
134,79,83,95,,,,,
131,76,79,92,,,,,
127,69,73,86,,,,,
128,72,74,90,,,,,
127,69,70,85,,,,,
130,74,76,90,,,,,
135,79,82,97,,,,,
131,73,78,90,,,,,
129,70,75,88,,,,,
136,85,89,101,,,,,
142,91,96,108,,,,,
144,92,97,110,,,,,
142,90,93,107,,,,,
144,93,97,110,,,,,
138,87,92,104,,,,,
145,91,96,109,,,,,
147,96,97,112,,,,,
150,100,101,116,,,,,
150,88,99,110,,,,,
157,100,110,121,,,,,
156,96,107,117,,,,,
154,96,105,116,,,,,
156,97,109,117,,,,,
159,99,112,121,,,,,
163,106,115,126,,,,,
159,103,111,123,,,,,
159,103,111,121,,,,,
158,101,108,121,,,,,
150,96,102,114,,,,,
154,100,106,118,,,,,
159,108,113,125,,,,,
157,104,109,122,,,,,
155,103,107,121,,,,,
157,107,110,123,,,,,
161,109,114,128,,,,,
158,108,112,125,,,,,
150,97,101,113,,,,,
156,104,110,123,,,,,
158,104,111,121,,,,,
168,110,115,128,,,,,
174,124,129,143,,,,,
177,129,135,147,,,,,
180,126,135,148,,,,,
180,126,137,146,,,,,
176,124,136,146,,,,,
180,133,143,154,,,,,
180,128,139,149,,,,,
179,128,137,149,,,,,
176,125,136,147,,,,,
181,125,135,147,,,,,
181,124,137,148,,,,,
177,122,135,144,,,,,
175,116,129,138,,,,,
178,123,134,147,,,,,
124,81,82,94,,,,,
123,81,82,94,,,,,
124,80,82,94,,,,,
122,80,81,93,,,,,
124,81,83,94,,,,,
124,82,83,95,,,,,
"-----","-----","-----","-----",,,,,
